customer_id,name,signup_date,segment,region,plan_type,status,email,tenure_days,signup_month,signup_cohort,total_revenue,total_invoices,latest_invoice_date,total_tickets,avg_satisfaction_score,total_usage_count,distinct_features_used,last_product_access_date,days_since_last_access,churn_date,churn_reason,churn_risk_score
CUST_00032,Tammy Allison,2023-03-29,SMB,West,Pro,Active,richardolson@example.com,1166,2023-03,2023-Q1,4761.76,16,2024-06-01,2.0,3.5,127.0,4.0,2024-03-15,814.0,,,20.0
CUST_00033,Carmen Smith,2021-09-05,SMB,East,Pro,Churned,ybaker@example.com,1736,2021-09,2021-Q3,9617.02,34,2024-06-01,1.0,2.0,165.0,3.0,2023-10-20,961.0,2024-06-16,Price,
CUST_00034,Michael Cross,2024-04-20,Enterprise,East,Basic,Active,smoore@example.org,778,2024-04,2024-Q2,258.86,3,2024-06-01,1.0,3.0,71.0,4.0,2024-01-26,863.0,,,30.0
CUST_00035,Lauren Daniels,2021-03-06,Enterprise,North,Pro,Active,brian97@example.net,1919,2021-03,2021-Q1,11938.43,40,2024-06-01,3.0,2.6666666666666665,35.0,2.0,2023-07-23,1050.0,,,35.0
CUST_00036,Kim Brown,2022-03-15,Enterprise,West,Basic,Active,yorkcasey@example.org,1545,2022-03,2022-Q1,2684.85,28,2024-06-01,2.0,3.5,26.0,2.0,2023-06-27,1076.0,,,30.0
CUST_00037,Cynthia Wilson,2022-05-13,SMB,East,Enterprise,Active,bethwilliams@example.org,1486,2022-05,2022-Q2,26438.8,26,2024-06-01,4.0,4.0,314.0,4.0,2024-04-18,780.0,,,20.0
CUST_00038,Kevin Mills,2023-06-02,SMB,North,Basic,Active,james53@example.com,1101,2023-06,2023-Q2,1341.85,13,2024-06-01,1.0,4.0,32.0,2.0,2024-04-15,783.0,,,30.0
CUST_00039,Michael Evans,2021-07-21,Mid-Market,North,Enterprise,Churned,sarah10@example.com,1782,2021-07,2021-Q3,34176.25,36,2024-06-01,0.0,,152.0,3.0,2024-02-01,857.0,2024-06-22,Business Closure,
CUST_00040,Kristine Garcia,2022-01-28,SMB,North,Enterprise,Churned,williamanderson@example.com,1591,2022-01,2022-Q1,30195.82,30,2024-06-01,0.0,,288.0,4.0,2024-03-16,813.0,2024-06-25,Competitor,
CUST_00041,Sherry Wood,2022-05-27,Mid-Market,South,Pro,Active,samueldaniels@example.com,1472,2022-05,2022-Q2,7791.61,26,2024-06-01,2.0,4.0,130.0,4.0,2024-03-08,821.0,,,20.0
CUST_00042,Victoria Valdez,2021-07-20,Enterprise,International,Enterprise,Churned,contrerasangela@example.net,1783,2021-07,2021-Q3,35088.6,36,2024-06-01,1.0,3.0,201.0,4.0,2024-05-13,755.0,2024-06-19,Price,
CUST_00043,Shawn Baker,2022-04-30,SMB,International,Enterprise,Churned,newtoneric@example.com,1499,2022-04,2022-Q2,25138.88,27,2024-06-01,0.0,,176.0,3.0,2024-05-28,740.0,2024-06-13,Competitor,
CUST_00044,Michelle Harris,2021-05-01,SMB,South,Basic,Churned,william40@example.org,1863,2021-05,2021-Q2,3531.39,38,2024-06-01,0.0,,88.0,3.0,2024-03-23,806.0,2024-06-04,Competitor,
CUST_00045,Sandra Williams,2023-07-21,Enterprise,International,Basic,Active,kellie42@example.net,1052,2023-07,2023-Q3,1194.0,12,2024-06-01,4.0,4.0,49.0,4.0,2024-04-01,797.0,,,30.0
CUST_00046,Michael Hoffman,2023-09-24,SMB,West,Pro,Churned,jonesnicole@example.org,987,2023-09,2023-Q3,2936.53,10,2024-06-01,1.0,4.0,24.0,1.0,2024-02-19,839.0,2024-06-07,Price,
CUST_00047,Sandra Aguilar,2024-01-16,Mid-Market,East,Enterprise,Churned,russellwilliams@example.com,873,2024-01,2024-Q1,6237.01,6,2024-06-01,0.0,,44.0,1.0,2023-08-05,1037.0,2024-06-27,Price,
CUST_00048,Rebecca Valencia,2023-12-24,Mid-Market,East,Basic,Churned,jason31@example.com,896,2023-12,2023-Q4,684.31,7,2024-06-01,1.0,4.0,49.0,3.0,2024-06-01,736.0,2024-06-23,Business Closure,
CUST_00049,Stacey Russell,2024-05-03,SMB,North,Basic,Churned,sarayoung@example.org,765,2024-05,2024-Q2,154.99,2,2024-06-01,0.0,,54.0,3.0,2023-09-03,1008.0,2024-07-01,Support Issues,
CUST_00050,Rita Keith,2024-03-12,SMB,International,Pro,Churned,whitesandra@example.com,817,2024-03,2024-Q1,1246.53,4,2024-06-01,0.0,,217.0,6.0,2024-04-29,769.0,2024-06-26,Competitor,
CUST_00051,Sharon Cochran,2024-04-10,SMB,South,Pro,Active,erik16@example.org,788,2024-04,2024-Q2,909.42,3,2024-06-01,3.0,4.0,20.0,1.0,2023-10-13,968.0,,,20.0
CUST_00052,Courtney Velasquez,2022-10-06,Mid-Market,West,Basic,Active,ybailey@example.org,1340,2022-10,2022-Q4,1936.62,21,2024-06-01,2.0,5.0,48.0,5.0,2023-12-25,895.0,,,30.0
CUST_00053,Matthew Ross,2022-10-10,Mid-Market,South,Pro,Active,michelle45@example.net,1336,2022-10,2022-Q4,6062.83,21,2024-06-01,2.0,4.5,129.0,4.0,2024-04-12,786.0,,,20.0
CUST_00054,Meghan Anthony,2024-02-28,SMB,East,Basic,Active,sheila14@example.org,830,2024-02,2024-Q1,464.14,5,2024-06-01,5.0,3.6,21.0,2.0,2023-08-22,1020.0,,,30.0
CUST_00055,Victoria Johnson,2022-12-16,Enterprise,South,Basic,Active,yreed@example.com,1269,2022-12,2022-Q4,1806.97,19,2024-06-01,3.0,3.3333333333333335,16.0,2.0,2023-05-17,1117.0,,,30.0
CUST_00056,William Wilson,2024-01-18,SMB,North,Basic,Active,jonathanfletcher@example.org,871,2024-01,2024-Q1,566.6,6,2024-06-01,2.0,3.0,44.0,3.0,2024-05-23,745.0,,,30.0
CUST_00057,Renee Mcdaniel,2021-01-17,SMB,West,Enterprise,Active,michaeljones@example.net,1967,2021-01,2021-Q1,40286.75,42,2024-06-01,0.0,,220.0,4.0,2023-11-24,926.0,,,20.0
CUST_00058,Lisa Alvarado,2021-10-03,SMB,North,Enterprise,Churned,cortezkevin@example.com,1708,2021-10,2021-Q4,31017.9,33,2024-06-01,0.0,,124.0,3.0,2024-04-27,771.0,2024-06-07,Price,
CUST_00059,Erika Terry,2022-08-01,SMB,North,Pro,Active,jamesortega@example.com,1406,2022-08,2022-Q3,6282.55,23,2024-06-01,4.0,3.5,91.0,3.0,2024-03-01,828.0,,,20.0
CUST_00060,Stephanie Gilbert,2022-06-25,SMB,East,Basic,Active,richard04@example.com,1443,2022-06,2022-Q2,2403.79,25,2024-06-01,0.0,,99.0,4.0,2024-05-20,748.0,,,30.0
CUST_00061,Richard Lawson,2023-05-18,Mid-Market,North,Enterprise,Active,steven73@example.net,1116,2023-05,2023-Q2,13843.460000000001,14,2024-06-01,3.0,3.0,230.0,4.0,2024-03-20,809.0,,,20.0
CUST_00062,Steven Flynn,2022-06-21,Enterprise,North,Basic,Active,donnacampbell@example.net,1447,2022-06,2022-Q2,2344.5299999999997,25,2024-06-01,2.0,4.0,28.0,3.0,2023-07-24,1049.0,,,30.0
CUST_00063,Frances Cardenas,2021-08-18,Mid-Market,East,Pro,Churned,emilywalker@example.org,1754,2021-08,2021-Q3,10099.95,35,2024-06-01,1.0,5.0,22.0,1.0,2023-11-18,932.0,2024-06-23,Price,
CUST_00064,Angel Riggs,2023-01-27,SMB,East,Enterprise,Active,gibsonolivia@example.net,1227,2023-01,2023-Q1,17281.39,18,2024-06-01,2.0,3.5,501.0,6.0,2024-05-21,747.0,,,20.0
CUST_00065,Michael Snyder,2021-03-23,Enterprise,South,Basic,Active,dylanwatts@example.org,1902,2021-03,2021-Q1,3864.13,40,2024-06-01,3.0,3.6666666666666665,34.0,3.0,2024-04-01,797.0,,,30.0
CUST_00066,Colleen Brock,2024-02-21,Mid-Market,North,Basic,Active,pwilliams@example.org,837,2024-02,2024-Q1,521.49,5,2024-06-01,3.0,3.6666666666666665,67.0,5.0,2024-05-05,763.0,,,30.0
CUST_00067,Robert Contreras,2022-04-30,Mid-Market,North,Pro,Active,stephanie79@example.net,1499,2022-04,2022-Q2,7909.26,27,2024-06-01,2.0,4.0,204.0,5.0,2024-05-08,760.0,,,20.0
CUST_00068,Jessica Meadows,2021-02-20,SMB,International,Enterprise,Churned,vmerritt@example.com,1933,2021-02,2021-Q1,40286.54,41,2024-06-01,0.0,,126.0,2.0,2023-11-24,926.0,2024-06-11,Product Gap,
CUST_00069,Paul Larsen,2022-05-24,SMB,South,Enterprise,Churned,katie87@example.net,1475,2022-05,2022-Q2,26291.05,26,2024-06-01,0.0,,145.0,4.0,2024-02-28,830.0,2024-06-26,Price,
CUST_00070,Jeremiah Reeves,2023-08-22,SMB,International,Basic,Churned,josephflores@example.net,1020,2023-08,2023-Q3,1018.48,11,2024-06-01,0.0,,49.0,3.0,2024-05-03,765.0,2024-06-07,Support Issues,
CUST_00071,Chris Reyes,2022-04-12,SMB,South,Pro,Churned,jasminebrown@example.com,1517,2022-04,2022-Q2,7441.56,27,2024-06-01,1.0,4.0,147.0,6.0,2024-01-05,884.0,2024-06-17,Product Gap,
CUST_00072,John Brown,2021-05-23,SMB,South,Basic,Active,xprice@example.net,1841,2021-05,2021-Q2,3456.21,38,2024-06-01,3.0,3.6666666666666665,74.0,5.0,2024-05-27,741.0,,,30.0
CUST_00073,Alicia Gilmore,2024-01-04,Mid-Market,South,Pro,Active,wwoods@example.com,885,2024-01,2024-Q1,1975.35,6,2024-06-01,2.0,3.5,173.0,6.0,2023-10-11,970.0,,,20.0
CUST_00074,Sarah Ashley,2024-04-04,Enterprise,South,Enterprise,Active,vmedina@example.net,794,2024-04,2024-Q2,2924.5,3,2024-06-01,3.0,4.0,203.0,6.0,2024-05-22,746.0,,,20.0
CUST_00075,Stephanie Freeman,2022-10-05,Mid-Market,South,Basic,Active,ryan06@example.com,1341,2022-10,2022-Q4,2084.31,21,2024-06-01,3.0,4.0,55.0,3.0,2024-05-01,767.0,,,30.0
CUST_00076,Rebecca Ramsey,2022-01-25,SMB,International,Basic,Churned,ncalhoun@example.net,1594,2022-01,2022-Q1,2868.63,30,2024-06-01,0.0,,53.0,2.0,2023-12-11,909.0,2024-06-07,Business Closure,
CUST_00077,James Elliott,2024-01-08,SMB,International,Basic,Active,millerroy@example.com,881,2024-01,2024-Q1,559.4,6,2024-06-01,2.0,4.5,44.0,4.0,2024-03-23,806.0,,,30.0
CUST_00078,David Murphy,2023-06-03,SMB,North,Pro,Churned,wmurphy@example.com,1100,2023-06,2023-Q2,3500.81,13,2024-06-01,0.0,,55.0,2.0,2024-04-13,785.0,2024-06-30,Support Issues,
CUST_00079,Trevor Fisher,2021-09-13,SMB,South,Basic,Active,ruizkaitlyn@example.org,1728,2021-09,2021-Q3,3187.97,34,2024-06-01,2.0,3.5,69.0,4.0,2024-04-28,770.0,,,30.0
CUST_00080,Mrs. Marie Harrington DDS,2023-04-05,Mid-Market,South,Basic,Active,herringjames@example.org,1159,2023-04,2023-Q2,1454.52,15,2024-06-01,1.0,4.0,62.0,4.0,2023-10-18,963.0,,,30.0
CUST_00081,Cynthia Wells,2023-02-16,SMB,West,Basic,Active,elliottjeffery@example.net,1207,2023-02,2023-Q1,1584.4,17,2024-06-01,3.0,3.3333333333333335,42.0,3.0,2023-12-27,893.0,,,30.0
CUST_00082,Jacob Obrien,2024-01-28,SMB,South,Pro,Active,stricklandfrank@example.com,861,2024-01,2024-Q1,1653.35,6,2024-06-01,2.0,3.0,33.0,2.0,2024-03-01,828.0,,,20.0
CUST_00083,Alexander Collins,2024-05-27,Mid-Market,West,Basic,Active,tsanders@example.org,741,2024-05,2024-Q2,171.24,2,2024-06-01,4.0,4.0,72.0,4.0,2023-09-24,987.0,,,30.0
CUST_00084,Michael Burton,2023-08-28,SMB,North,Pro,Active,terrykevin@example.net,1014,2023-08,2023-Q3,3142.2200000000003,11,2024-06-01,3.0,4.0,81.0,2.0,2024-02-26,832.0,,,20.0
CUST_00085,Barbara Riggs,2022-08-05,SMB,West,Pro,Active,reedross@example.com,1402,2022-08,2022-Q3,6944.39,23,2024-06-01,3.0,3.5,63.0,3.0,2024-05-27,741.0,,,20.0
CUST_00086,Matthew Smith,2022-04-27,SMB,West,Basic,Active,gshort@example.com,1502,2022-04,2022-Q2,2584.07,27,2024-06-01,2.0,3.5,41.0,3.0,2024-04-14,784.0,,,30.0
CUST_00087,Madison Poole,2022-05-17,Mid-Market,North,Basic,Active,ryangross@example.net,1482,2022-05,2022-Q2,2563.51,26,2024-06-01,4.0,3.5,72.0,5.0,2024-04-20,778.0,,,30.0
CUST_00088,Robert Medina,2024-03-24,SMB,East,Enterprise,Churned,umarshall@example.net,805,2024-03,2024-Q1,3949.1400000000003,4,2024-06-01,0.0,,175.0,4.0,2024-05-09,759.0,2024-06-11,Support Issues,
CUST_00089,Samuel Rivas,2021-01-12,SMB,North,Pro,Active,ramirezshannon@example.com,1972,2021-01,2021-Q1,12373.73,42,2024-06-01,3.0,4.333333333333333,108.0,3.0,2024-05-09,759.0,,,20.0
CUST_00090,Mary Rogers,2022-03-25,SMB,West,Enterprise,Churned,lrosales@example.com,1535,2022-03,2022-Q1,27402.38,28,2024-06-01,0.0,,201.0,3.0,2024-05-11,757.0,2024-06-14,Competitor,
CUST_00091,Robert Peterson,2022-05-26,SMB,North,Pro,Active,angela83@example.org,1473,2022-05,2022-Q2,7887.5,26,2024-06-01,2.0,4.0,151.0,5.0,2024-01-13,876.0,,,20.0
CUST_00092,Jason Peters,2023-12-24,Enterprise,East,Basic,Active,hannahbrewer@example.com,896,2023-12,2023-Q4,661.76,7,2024-06-01,1.0,3.0,26.0,2.0,2024-05-12,756.0,,,30.0
CUST_00093,Alan Phillips,2023-10-31,SMB,International,Enterprise,Active,tholt@example.net,950,2023-10,2023-Q4,8183.29,9,2024-06-01,2.0,3.5,148.0,3.0,2023-11-10,940.0,,,20.0
CUST_00094,Kara Schmidt,2023-08-31,SMB,North,Pro,Active,jbarajas@example.com,1011,2023-08,2023-Q3,3301.1,11,2024-06-01,5.0,3.75,69.0,3.0,2024-02-11,847.0,,,20.0
CUST_00095,Jesse Parker,2023-12-04,SMB,South,Enterprise,Active,davidlee@example.org,916,2023-12,2023-Q4,6964.81,7,2024-06-01,1.0,4.0,119.0,3.0,2024-03-22,807.0,,,20.0
CUST_00096,Tiffany Vaughn,2022-04-26,Mid-Market,West,Pro,Active,javierwashington@example.net,1503,2022-04,2022-Q2,8090.030000000001,27,2024-06-01,1.0,4.0,65.0,2.0,2023-11-02,948.0,,,20.0
CUST_00097,Paige Carlson,2022-04-19,Mid-Market,North,Pro,Active,wallkenneth@example.com,1510,2022-04,2022-Q2,7634.89,27,2024-06-01,2.0,3.5,74.0,4.0,2024-04-23,775.0,,,20.0
CUST_00098,Adrian Ferguson,2022-11-09,Mid-Market,South,Basic,Active,brandon08@example.com,1306,2022-11,2022-Q4,2091.13,20,2024-06-01,1.0,5.0,49.0,5.0,2024-03-19,810.0,,,30.0
CUST_00099,Beth Oneill,2024-04-11,Mid-Market,South,Basic,Active,agarcia@example.net,787,2024-04,2024-Q2,300.94,3,2024-06-01,1.0,5.0,41.0,4.0,2023-08-16,1026.0,,,30.0
CUST_00100,John Peterson,2023-09-04,Enterprise,East,Enterprise,Churned,kingmichelle@example.org,1007,2023-09,2023-Q3,10074.1,10,2024-06-01,0.0,,374.0,5.0,2024-05-12,756.0,2024-06-19,Product Gap,
CUST_00101,Jennifer Jones,2023-05-09,Mid-Market,International,Enterprise,Active,hernandezlisa@example.com,1125,2023-05,2023-Q2,12791.87,14,2024-06-01,4.0,4.333333333333333,128.0,2.0,2023-12-12,908.0,,,20.0
CUST_00102,David Grant,2023-09-27,SMB,International,Enterprise,Churned,yobrien@example.net,984,2023-09,2023-Q3,9808.6,10,2024-06-01,1.0,,151.0,4.0,2023-09-04,1007.0,2024-06-11,Competitor,
CUST_00103,Joseph Hayes,2023-04-09,Mid-Market,South,Basic,Active,levans@example.com,1155,2023-04,2023-Q2,1376.77,15,2024-06-01,2.0,3.5,21.0,2.0,2024-03-22,807.0,,,30.0
CUST_00104,Marc Lynch,2023-12-30,SMB,International,Enterprise,Churned,mezajared@example.org,890,2023-12,2023-Q4,7203.77,7,2024-06-01,0.0,,184.0,3.0,2024-05-04,764.0,2024-06-02,Product Gap,
CUST_00105,Brad Allen,2023-05-28,Mid-Market,North,Pro,Churned,moorericky@example.net,1106,2023-05,2023-Q2,3871.32,14,2024-06-01,2.0,3.5,43.0,2.0,2024-01-18,871.0,2024-06-23,Business Closure,
CUST_00106,Doris Hall,2022-03-10,SMB,South,Basic,Active,jacqueline71@example.net,1550,2022-03,2022-Q1,2719.31,28,2024-06-01,0.0,,22.0,2.0,2024-04-29,769.0,,,30.0
CUST_00107,Dennis Moody,2023-05-14,Mid-Market,South,Enterprise,Active,ronaldstephens@example.net,1120,2023-05,2023-Q2,13366.720000000001,14,2024-06-01,3.0,2.6666666666666665,116.0,3.0,2024-05-18,750.0,,,35.0
CUST_00108,Derek Thomas,2022-12-18,Enterprise,East,Basic,Active,martinkyle@example.net,1267,2022-12,2022-Q4,1939.93,19,2024-06-01,2.0,4.0,87.0,6.0,2024-05-01,767.0,,,30.0
CUST_00109,Tammy Gonzales,2021-03-05,Enterprise,North,Enterprise,Active,sbarker@example.com,1920,2021-03,2021-Q1,38840.130000000005,40,2024-06-01,3.0,2.6666666666666665,169.0,3.0,2024-04-19,779.0,,,35.0
CUST_00110,Kathryn Snyder,2021-09-16,Mid-Market,North,Basic,Active,georgepamela@example.net,1725,2021-09,2021-Q3,3184.12,34,2024-06-01,3.0,3.3333333333333335,75.0,6.0,2024-04-03,795.0,,,30.0
CUST_00111,David Davis,2022-06-09,Enterprise,East,Enterprise,Active,keyemily@example.com,1459,2022-06,2022-Q2,24290.81,25,2024-06-01,4.0,4.25,131.0,2.0,2024-03-16,813.0,,,20.0
CUST_00112,Pamela Thompson,2021-08-23,Mid-Market,West,Pro,Active,lmoon@example.net,1749,2021-08,2021-Q3,10034.39,35,2024-06-01,2.0,3.0,137.0,3.0,2024-04-27,771.0,,,20.0
CUST_00113,Robert Costa,2022-10-01,Mid-Market,East,Basic,Active,vbailey@example.com,1345,2022-10,2022-Q4,1913.63,21,2024-06-01,2.0,3.5,19.0,1.0,2023-06-13,1090.0,,,30.0
CUST_00114,Shannon Rivera,2022-02-11,SMB,International,Basic,Churned,zroberts@example.net,1577,2022-02,2022-Q1,2840.68,29,2024-06-01,1.0,4.0,25.0,2.0,2024-04-07,791.0,2024-06-18,Business Closure,
CUST_00115,Brandon King,2022-09-10,SMB,North,Pro,Active,cordovarichard@example.net,1366,2022-09,2022-Q3,6138.47,22,2024-06-01,4.0,2.75,69.0,2.0,2024-03-19,810.0,,,35.0
CUST_00116,April Booth,2021-03-26,SMB,International,Basic,Active,mgutierrez@example.net,1899,2021-03,2021-Q1,3798.5,40,2024-06-01,0.0,,75.0,6.0,2024-05-17,751.0,,,30.0
CUST_00117,Peter Garrett,2022-11-30,Mid-Market,East,Basic,Churned,harrisandrea@example.com,1285,2022-11,2022-Q4,1875.79,20,2024-06-01,2.0,3.0,56.0,5.0,2024-04-19,779.0,2024-07-01,Support Issues,
CUST_00118,Michael Martinez,2023-01-12,Mid-Market,South,Pro,Active,jennifercollins@example.org,1242,2023-01,2023-Q1,4870.7,18,2024-06-01,3.0,3.6666666666666665,74.0,2.0,2024-01-08,881.0,,,20.0
CUST_00119,Anna Gay,2023-12-05,SMB,South,Pro,Active,murraydavid@example.org,915,2023-12,2023-Q4,2114.47,7,2024-06-01,0.0,,84.0,3.0,2024-04-14,784.0,,,20.0
CUST_00120,Dr. Jordan Hill PhD,2023-09-18,Mid-Market,East,Enterprise,Active,jsanchez@example.org,993,2023-09,2023-Q3,10037.91,10,2024-06-01,2.0,3.5,203.0,4.0,2024-04-22,776.0,,,20.0
CUST_00121,Thomas Romero,2022-05-18,SMB,South,Pro,Active,michellehill@example.com,1481,2022-05,2022-Q2,7629.04,26,2024-06-01,2.0,4.0,151.0,5.0,2024-02-23,835.0,,,20.0
CUST_00122,Richard Adams,2023-08-10,Enterprise,North,Enterprise,Active,campbellkenneth@example.net,1032,2023-08,2023-Q3,10100.98,11,2024-06-01,2.0,4.0,199.0,4.0,2024-02-20,838.0,,,20.0
CUST_00123,Mary Grimes,2022-10-28,SMB,East,Basic,Churned,wryan@example.com,1318,2022-10,2022-Q4,1994.87,21,2024-06-01,1.0,4.0,27.0,3.0,2023-11-13,937.0,2024-06-21,Support Issues,
